cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj
19067,"""Floyd, (IA)""",529.4,529.4 - 604.5 (642),8.8,29.1,27.5
19069,"""Franklin, (IA)""",506.9,477.2 - 529.3 (644),9.1,33.3,24.3
19071,"""Fremont, (IA)""",435.6,425.4 - 477.1 (642),7.2,33.6,28
19073,"""Greene, (IA)""",475.1,425.4 - 477.1 (642),8.5,33.8,28.2
19075,"""Grundy, (IA)""",455.6,425.4 - 477.1 (642),8.5,31.3,24.3
19077,"""Guthrie, (IA)""",477.3,477.2 - 529.3 (644),6.6,35.1,28.6
19079,"""Hamilton, (IA)""",438.6,425.4 - 477.1 (642),8.7,34.2,23.5
19081,"""Hancock, (IA)""",468.9,425.4 - 477.1 (642),7.5,35.1,25.4
19083,"""Hardin, (IA)""",485.6,477.2 - 529.3 (644),8,33.2,17.8
19085,"""Harrison, (IA)""",447.1,425.4 - 477.1 (642),9.7,34.7,22.2
19087,"""Henry, (IA)""",569.1,529.4 - 604.5 (642),8.6,33.7,22.9
19089,"""Howard, (IA)""",496.8,477.2 - 529.3 (644),7.2,29.9,28.3
19091,"""Humboldt, (IA)""",525.1,477.2 - 529.3 (644),7.6,30.3,28.6
19093,"""Ida, (IA)""",451.3,425.4 - 477.1 (642),7.3,29,24.8
19095,"""Iowa, (IA)""",393.8,139.6 - 425.3 (645),7.1,29.8,23
19097,"""Jackson, (IA)""",570.4,529.4 - 604.5 (642),8.4,32.6,29.3
19099,"""Jasper, (IA)""",458.8,425.4 - 477.1 (642),8.2,32.2,26.1
19101,"""Jefferson, (IA)""",537.6,529.4 - 604.5 (642),7.9,27,21.9
19103,"""Johnson, (IA)""",353.3,139.6 - 425.3 (645),6.5,23.7,18.2
19105,"""Jones, (IA)""",414.9,139.6 - 425.3 (645),8.4,37.5,23.7
19107,"""Keokuk, (IA)""",441.3,425.4 - 477.1 (642),8.2,31.3,24.6
19109,"""Kossuth, (IA)""",441.6,425.4 - 477.1 (642),8.3,34.2,23.5
19111,"""Lee, (IA)""",634.1,604.6 - 949.9 (643),9.7,33.8,27.9
19113,"""Linn, (IA)""",380.1,139.6 - 425.3 (645),9.2,33.1,23
19115,"""Louisa, (IA)""",530.2,529.4 - 604.5 (642),7.8,37.4,27.5
19117,"""Lucas, (IA)""",429.6,425.4 - 477.1 (642),8.7,36,27.4
