"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
08063,"""Kit Carson, (CO)""",489.3,"457.2 - 512.7 (644)",5.9,27.6,22.8
08065,"""Lake, (CO)""",380.3,"177.2 - 457.1 (643)",5.3,19.1,15.9
08067,"""La Plata, (CO)""",423.2,"177.2 - 457.1 (643)",4.8,16.5,12.6
08069,"""Larimer, (CO)""",388.6,"177.2 - 457.1 (643)",4.8,17.7,13.1
08071,"""Las Animas, (CO)""",453.1,"177.2 - 457.1 (643)",6,23.4,22.5
08073,"""Lincoln, (CO)""",426.3,"177.2 - 457.1 (643)",6.3,23.7,18.5
08075,"""Logan, (CO)""",460.4,"457.2 - 512.7 (644)",6.7,29,22.2
08077,"""Mesa, (CO)""",469.4,"457.2 - 512.7 (644)",5.5,22.2,16.5
08079,"""Mineral, (CO)""",418.4,"177.2 - 457.1 (643)",4.7,18.4,15.3
08081,"""Moffat, (CO)""",482.1,"457.2 - 512.7 (644)",5.7,24.9,20.5
08083,"""Montezuma, (CO)""",420.4,"177.2 - 457.1 (643)",5.5,22,16.9
08085,"""Montrose, (CO)""",397.1,"177.2 - 457.1 (643)",5.9,19.9,15.1
08087,"""Morgan, (CO)""",450.7,"177.2 - 457.1 (643)",6.6,27.7,22.9
08089,"""Otero, (CO)""",459.1,"457.2 - 512.7 (644)",5.5,28.1,19.6
08091,"""Ouray, (CO)""",346.9,"177.2 - 457.1 (643)",4.7,17.7,13.4
08093,"""Park, (CO)""",237,"177.2 - 457.1 (643)",4.9,18.4,14.8
08095,"""Phillips, (CO)""",467.5,"457.2 - 512.7 (644)",6.4,25.2,17.3
08097,"""Pitkin, (CO)""",202.5,"177.2 - 457.1 (643)",4.3,15,10.1
08099,"""Prowers, (CO)""",422.7,"177.2 - 457.1 (643)",7.2,27.4,20.7
08101,"""Pueblo, (CO)""",442.4,"177.2 - 457.1 (643)",7.4,27.4,20.5
08103,"""Rio Blanco, (CO)""",430,"177.2 - 457.1 (643)",5,23.5,16.4
08105,"""Rio Grande, (CO)""",502.5,"457.2 - 512.7 (644)",5.2,22.6,16.2
08107,"""Routt, (CO)""",408.9,"177.2 - 457.1 (643)",3.6,13.3,11.9
08109,"""Saguache, (CO)""",388.3,"177.2 - 457.1 (643)",5.8,21.3,16
